Roller hockey	;689
Inline hockey;690
Roller hockey (Quad);691
Skater hockey;692
Rossall Hockey;693
Spongee;694
Street hockey;695
Underwater hockey;696
Unicycle hockey;697
Cammag;698
Hurling	;699
Camogie;700
Shinty;701
Composite rules shinty-hurling;702
Lacrosse	;703
Box lacrosse;704
Field lacrosse;705
Women's lacrosse;706
Intercrosse;707
Polo	;708
Bicycle polo;709
Canoe polo;710
Cowboy polo;711
Elephant polo;712
Horse polo;713
Segway polo;714
Yak polo;715
Free running;716
Freestyle footbag;717
Freestyle football;718
Powerbocking;719
Parkour;720
Scootering;721
Street workout;722
British bulldogs (American Eagle);723
Capture the flag;724
Hana Ichi Monme;725
Hide and seek;726
Jugger;727
Kabaddi;728
Kho kho;729
Kick the can;730
Oztag;731
Red rover;732
Tag;733
Hiking;734
Backpacking (wilderness);735
Racewalking;736
Bushwhacking;737
Walking;738
American handball;739
Australian handball;740
Basque pelota;741
Butts Up;742
Chinese handball;743
Fives;744
Gaelic handball;745
International fronton;746
Jorkyball;747
Racquetball;748
Squash;749
Squash tennis;750
Suicide (game);751
Valencian frontÃ³;752
Wallball;753
Wallyball;754
Canoeing;755
Outrigger canoeing;756
Creeking;757
Flyak;758
Freeboating;759
Sea kayaking;760
Squirt boating;761
Surf kayaking;762
Whitewater kayaking;763
Rafting;764
White water rafting;765
Rowing (sport);766
Gig racing;767
Coastal and ocean rowing	;768
Surfboat;769
Single scull;770
Dragon boat racing;771
Stand up paddle boarding;772
Water polo;773
Canoe polo;774
Waboba;775
Underwater football;776
Underwater rugby;777
Underwater hockey;778
Backstroke;779
Breaststroke;780
Butterfly stroke;781
Freestyle swimming;782
Individual medley;783
Synchronized swimming;784
Medley relay;785
Bifins (finswimming);786
Surface finswimming;787
Apnoea finswimming;788
Aquathlon (underwater wrestling);789
Freediving;790
Immersion finswimming;791
Scuba diving;792
Spearfishing;793
Snorkelling;794
Sport diving (sport);795
Underwater hockey;796
Underwater orienteering;797
Underwater photography (sport);798
Underwater target shooting;799
Cliff diving;800
Diving;801
Basque traditional weightlifting;802
Bodybuilding;803
Highland games;804
Olympic weightlifting;805
Powerlifting;806
Strength athletics (strongman);807
Steinstossen;808
CrossFit;809
Autocross (a.k.a. Slalom);810
Autograss;811
Banger racing;812
Board track racing;813
Demolition derby;814
Desert racing;815
Dirt track racing;816
Drag racing;817
Drifting;818
Folkrace;819
Formula racing;820
Formula Libre;821
Formula Student;822
Hillclimbing;823
Ice racing;824
Kart racing;825
Land speed records;826
Legends car racing;827
Midget car racing;828
Monster truck;829
Mud bogging;830
Off-road racing;831
Pickup truck racing;832
Production car racing;833
Race of Champions;834
Rally raid;835
Rallycross;836
Rallying;837
Regularity rally;838
Road racing;839
Short track motor racing;840
Snowmobile racing;841
Sports car racing;842
Sprint car racing;843
Street racing;844
Stock car racing;845
Time attack;846
Tractor pulling;847
Touring car racing;848
Truck racing;849
Vintage racing;850
Wheelstand competition;851
Drag boat racing;852
F1 powerboat racing;853
Hydroplane racing;854
Jet sprint boat racing;855
Offshore powerboat racing;856
Personal water craft;857
Auto Race;858
Board track racing;859
Cross-country rally;860
Endurance racing;861
Enduro;862
Freestyle motocross;863
Grand Prix motorcycle racing;864
Grasstrack;865
Hillclimbing;866
Ice racing;867
Ice speedway;868
Indoor enduro;869
Motocross;870
Motorcycle drag racing;871
Motorcycle speedway;872
Off-roading;873
Rally raid;874
Road racing;875
Superbike racing;876
Supercross;877
Supermoto;878
Supersport racing;879
Superside;880
Track racing;881
Trial;882
TT racing;883
Free-style moto;884
All-terrain vehicle competition;885
Bungee jumping;886
